datetime,targetLatency,sourceLatency
2017-11-27T17:46:28,01,76
2017-11-27T17:46:58,04,01
2017-11-27T17:47:28,06,27
2017-11-27T17:47:58,05,55
2017-11-27T17:48:28,06,83
2017-11-27T17:48:58,11,06
2017-11-27T17:49:28,15,29
2017-11-27T17:49:58,16,54
2017-11-27T17:50:28,26,72
2017-11-27T17:50:58,25,00
2017-11-27T17:51:28,22,28
2017-11-27T17:51:58,24,52
2017-11-27T17:52:28,26,76
2017-11-27T17:52:58,24,03
2017-11-27T17:53:28,29,24
2017-11-27T17:53:58,30,49
2017-11-27T17:54:28,29,77
2017-11-27T17:54:58,32,01
2017-11-27T17:55:28,32,27
2017-11-27T17:55:58,31,55
2017-11-27T17:56:28,34,79
2017-11-27T17:56:58,37,04
2017-11-27T17:57:28,36,33
2017-11-27T17:57:58,36,59
2017-11-27T17:58:28,38,83
2017-11-27T17:58:58,38,11
2017-11-27T17:59:28,37,39
2017-11-27T17:59:58,41,63
2017-11-27T18:00:28,42,90
2017-11-27T18:00:58,41,18
2017-11-27T18:01:28,38,47
2017-11-27T18:01:58,42,70
2017-11-27T18:02:28,39,98
2017-11-27T18:02:58,39,26
2017-11-27T18:03:28,37,55
2017-11-27T18:03:58,42,77
2017-11-27T18:04:28,43,04
2017-11-27T18:04:58,42,32
2017-11-27T18:05:28,41,61
2017-11-27T18:05:58,41,88
2017-11-27T18:06:28,42,13
2017-11-27T18:06:58,39,41
2017-11-27T18:07:28,36,70
2017-11-27T18:07:58,35,98
2017-11-27T18:08:28,36,21
2017-11-27T18:08:58,39,45
2017-11-27T18:09:28,39,72
2017-11-27T18:09:58,39,99
2017-11-27T18:10:28,44,23
2017-11-27T18:10:58,45,49
2017-11-27T18:11:28,43,78
2017-11-27T18:11:58,41,06
2017-11-27T18:12:28,38,35
2017-11-27T18:12:58,38,62
2017-11-27T18:13:28,38,87
2017-11-27T18:13:58,37,16
2017-11-27T18:14:28,37,42
2017-11-27T18:14:58,35,71
2017-11-27T18:15:28,36,97
2017-11-27T18:15:58,38,23
2017-11-27T18:16:28,38,51
2017-11-27T18:16:58,36,80
2017-11-27T18:17:28,37,07
2017-11-27T18:17:58,37,32
2017-11-27T18:18:28,37,59
2017-11-27T18:18:58,37,87
2017-11-27T18:19:28,38,14
2017-11-27T18:19:58,39,40
2017-11-27T18:20:28,39,68
2017-11-27T18:20:58,38,96
2017-11-27T18:21:28,39,22
2017-11-27T18:21:58,41,47
2017-11-27T18:22:28,41,74
2017-11-27T18:22:58,40,03
2017-11-27T18:23:28,42,28
2017-11-27T18:23:58,45,53
2017-11-27T18:24:28,44,82
2017-11-27T18:24:58,45,08
2017-11-27T18:25:28,47,34
2017-11-27T18:25:58,49,60
2017-11-27T18:26:28,49,88
2017-11-27T18:26:58,49,16
2017-11-27T18:27:28,50,43
2017-11-27T18:27:58,52,68
2017-11-27T18:28:28,51,95
2017-11-27T18:28:58,50,23
2017-11-27T18:29:28,51,50
2017-11-27T18:29:58,53,76
2017-11-27T18:30:28,53,03
2017-11-27T18:30:58,52,31
2017-11-27T18:31:28,51,59
2017-11-27T18:31:58,52,84
2017-11-27T18:32:28,51,10
2017-11-27T18:32:58,49,38
2017-11-27T18:33:28,47,66
2017-11-27T18:33:58,49,91
2017-11-27T18:34:28,48,18
2017-11-27T18:34:58,46,46
2017-11-27T18:35:28,46,73
2017-11-27T18:35:58,50,97
2017-11-27T18:36:28,51,24
2017-11-27T18:36:58,50,52
2017-11-27T18:37:28,49,80
2017-11-27T18:37:58,54,03
2017-11-27T18:38:28,53,29
2017-11-27T18:38:58,51,58
2017-11-27T18:39:28,50,86
2017-11-27T18:39:58,52,13
2017-11-27T18:40:28,53,38
2017-11-27T18:40:58,53,66
2017-11-27T18:41:28,52,95
2017-11-27T18:41:58,51,23
2017-11-27T18:42:28,53,49
2017-11-27T18:42:58,53,75
2017-11-27T18:43:28,52,04
2017-11-27T18:43:58,51,32
2017-11-27T18:44:28,50,60
2017-11-27T18:44:58,52,85
2017-11-27T18:45:28,53,12
2017-11-27T18:45:58,52,41
2017-11-27T18:46:28,51,69
2017-11-27T18:46:58,52,95
2017-11-27T18:47:28,54,21
2017-11-27T18:47:58,53,49
2017-11-27T18:48:28,52,77
2017-11-27T18:48:58,53,04
2017-11-27T18:49:28,57,27
2017-11-27T18:49:58,54,54
2017-11-27T18:50:28,54,82
2017-11-27T18:50:58,54,09
2017-11-27T18:51:28,56,34
2017-11-27T18:51:58,56,62
2017-11-27T18:52:28,55,90
2017-11-27T18:52:58,54,18
2017-11-27T18:53:28,56,43
2017-11-27T18:53:58,56,70
2017-11-27T18:54:28,56,98
2017-11-27T18:54:58,54,26
2017-11-27T18:55:28,58,51
2017-11-27T18:55:58,60,77
2017-11-27T18:56:28,60,05
2017-11-27T18:56:58,59,33
2017-11-27T18:57:28,62,58
2017-11-27T18:57:58,63,84
2017-11-27T18:58:28,62,13
2017-11-27T18:58:58,61,41
2017-11-27T18:59:28,62,67
2017-11-27T18:59:58,64,94
2017-11-27T19:00:28,63,21
2017-11-27T19:00:58,63,49
2017-11-27T19:01:28,64,75
2017-11-27T19:01:58,66,01
2017-11-27T19:02:28,67,28
2017-11-27T19:02:58,69,55
2017-11-27T19:03:28,71,81
2017-11-27T19:03:58,72,07
2017-11-27T19:04:28,73,34
2017-11-27T19:04:58,72,62
2017-11-27T19:05:28,74,89
2017-11-27T19:05:58,71,17
2017-11-27T19:06:28,71,43
2017-11-27T19:06:58,71,71
2017-11-27T19:07:28,70,99
2017-11-27T19:07:58,71,26
2017-11-27T19:08:28,71,52
2017-11-27T19:08:58,72,79
2017-11-27T19:09:28,72,07
2017-11-27T19:09:58,73,32
2017-11-27T19:10:28,76,57
2017-11-27T19:10:58,75,84
2017-11-27T19:11:28,74,13
2017-11-27T19:11:58,78,36
2017-11-27T19:12:28,79,63
2017-11-27T19:12:58,78,92
2017-11-27T19:13:28,77,20
2017-11-27T19:13:58,80,45
2017-11-27T19:14:28,81,71
2017-11-27T19:14:58,80,99
2017-11-27T19:15:28,82,25
2017-11-27T19:15:58,84,50
2017-11-27T19:16:28,84,78
2017-11-27T19:16:58,84,07
2017-11-27T19:17:28,88,31
2017-11-27T19:17:58,90,57
2017-11-27T19:18:28,91,84
2017-11-27T19:18:58,89,12
2017-11-27T19:19:28,90,38
2017-11-27T19:19:58,92,63
2017-11-27T19:20:28,93,91
2017-11-27T19:20:58,92,19
2017-11-27T19:21:28,95,44
2017-11-27T19:21:58,96,71
2017-11-27T19:22:28,95,99
2017-11-27T19:22:58,95,26
2017-11-27T19:23:28,99,50
2017-11-27T19:23:58,00,76
2017-11-27T19:24:28,99,04
2017-11-27T19:24:58,03,28
2017-11-27T19:25:28,04,54
2017-11-27T19:25:58,04,81
2017-11-27T19:26:28,02,10
2017-11-27T19:26:58,06,34
2017-11-27T19:27:28,07,59
2017-11-27T19:27:58,07,87
2017-11-27T19:28:28,06,15
2017-11-27T19:28:58,10,39
2017-11-27T19:29:28,10,66
2017-11-27T19:29:58,09,94
2017-11-27T19:30:28,08,22
2017-11-27T19:30:58,12,47
2017-11-27T19:31:28,16,71
2017-11-27T19:31:58,18,97
2017-11-27T19:32:28,17,26
2017-11-27T19:32:59,27,44
2017-11-27T19:33:29,29,70
2017-11-27T19:33:59,29,98
2017-11-27T19:34:29,29,27
2017-11-27T19:34:59,33,51
2017-11-27T19:35:29,35,76
2017-11-27T19:35:59,36,04
2017-11-27T19:36:29,36,32
2017-11-27T19:36:59,37,58
2017-11-27T19:37:29,40,82
2017-11-27T19:37:59,41,10
2017-11-27T19:38:29,41,39
2017-11-27T19:38:59,43,64
2017-11-27T19:39:29,46,90
2017-11-27T19:39:59,47,17
2017-11-27T19:40:29,47,45
2017-11-27T19:40:59,52,68
2017-11-27T19:41:29,57,92
2017-11-27T19:41:59,58,18
2017-11-27T19:42:29,59,46
2017-11-27T19:42:59,61,72
2017-11-27T19:43:29,68,94
2017-11-27T19:43:59,72,19
2017-11-27T19:44:29,72,46
2017-11-27T19:44:59,71,73
2017-11-27T19:45:29,75,97
2017-11-27T19:45:59,75,24
2017-11-27T19:46:29,75,52
2017-11-27T19:46:59,75,80
2017-11-27T19:47:29,80,02
2017-11-27T19:47:59,82,26
2017-11-27T19:48:29,83,52
2017-11-27T19:48:59,83,80
2017-11-27T19:49:29,83,08
2017-11-27T19:49:59,88,32
2017-11-27T19:50:29,91,57
2017-11-27T19:50:59,91,84
2017-11-27T19:51:29,90,13
2017-11-27T19:51:59,91,39
2017-11-27T19:52:29,93,65
2017-11-27T19:52:59,93,92
2017-11-27T19:53:29,93,20
2017-11-27T19:53:59,94,48
2017-11-27T19:54:29,98,72
2017-11-27T19:54:59,99,99
2017-11-27T19:55:29,99,27
2017-11-27T19:55:59,99,56
2017-11-27T19:56:29,01,81
2017-11-27T19:56:59,05,06
2017-11-27T19:57:29,05,34
2017-11-27T19:57:59,05,62
2017-11-27T19:58:29,06,89
2017-11-27T19:58:59,09,12
2017-11-27T19:59:29,10,39
2017-11-27T19:59:59,11,67
2017-11-27T20:00:29,11,95
2017-11-27T20:00:59,13,21
2017-11-27T20:01:29,16,47
2017-11-27T20:01:59,16,74
2017-11-27T20:02:29,17,01
2017-11-27T20:02:59,20,27
2017-11-27T20:03:29,22,53
2017-11-27T20:03:59,24,78
2017-11-27T20:04:29,24,05
2017-11-27T20:04:59,28,28
2017-11-27T20:05:29,33,52
2017-11-27T20:05:59,32,79
2017-11-27T20:06:29,34,04
2017-11-27T20:06:59,34,31
2017-11-27T20:07:29,36,56
2017-11-27T20:07:59,35,84
2017-11-27T20:08:29,37,09
2017-11-27T20:08:59,41,33
2017-11-27T20:09:29,40,61
